"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"28",1878,"Trinity Church","Hartford","Connecticut","Edwin E. Johnson","John Williams","Gallaudet","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"29",1878,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","R.D. Beers","","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"30",1879,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","R.D. Beers","","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"31",1879,"Christ Church","Norwich","Connecticut","Samuel H. Giesy","John Williams","Turner","itinerant","once","Norwich, Connecticut",41.5499565,-72.08919
"32",1879,"St. Andrew's Church","Meriden","Connecticut","G.H. Deshon","John Williams","Turner","itinerant","once","Meriden, Connecticut",41.5378215,-72.8003388
"33",1879,"Trinity Church","Hartford","Connecticut","Edwin E. Johnson","John Williams","Turner","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"34",1880,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","R.D. Beers","","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"35",1859,"Christ Church","Guilford","Connecticut","Lorenzo T. Bennett","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Guilford, Connecticut",41.2889866,-72.6817616
"36",1859,"Christ Church","Guilford","Connecticut","Lorenzo T. Bennett","Thomas Church Brownell","Thomas Gallaudet","itinerant","once","Guilford, Connecticut",41.2889866,-72.6817616
"37",1859,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Hartford, Connecticut",41.7655582,-72.6906128
"38",1859,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","Thomas Church Brownell","Thomas Gallaudet","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"39",1859,"Trinity Church","Southport","Connecticut","Samuel M. Emery","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Southport, Connecticut",41.1364856,-73.2834486
"40",1859,"Trinity Church","Southport","Connecticut","Samuel M. Emery","Thomas Church Brownell","Thomas Gallaudet","itinerant","once","Southport, Connecticut",41.1364856,-73.2834486
"41",1861,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","John Williams","Thomas Gallaudet","occasional","once","Hartford, Connecticut",41.7655582,-72.6906128
"42",1861,"Christ Church","New Haven","Connecticut","Joseph Brewster","John Williams","Thomas Gallaudet","occasional","once","New Haven, Connecticut",41.2984343,-72.9310234
"43",1860,"Trinity Church","Norwich","Connecticut","G.A. Easton","John Williams","Thomas Gallaudet","occasional","intermittent","Norwich, Connecticut",41.5499565,-72.08919
"44",1861,"Trinity Church","Norwich","Connecticut","G.A. Easton","John Williams","Thomas Gallaudet","occasional","intermittent","Norwich, Connecticut",41.5499565,-72.08919
"45",1876,"Trinity Church","Wilmington","Delaware","William J. Frost","Alfred Lee","Gallaudet, Chamberlain","Itinerant","intermittent","Wilmington, Delaware",39.7459468,-75.546589
"46",1879,"Trinity Church","Wilmington","Delaware","William J. Frost","Alfred Lee","Turner","itinerant","intermittent","Wilmington, Delaware",39.7459468,-75.546589
"47",1859,"Church of the Epiphany","Washington","District of Columbia","Charles H. Hall","William R. Whittingham","Thomas Gallaudet","promotional","once","Washington, District of Columbia",38.8890591,-77.04017
"48",1859,"Church of the Epiphany","Washington","District of Columbia","Charles H. Hall","William R. Whittingham","Thomas Gallaudet","itinerant","once","Washington, District of Columbia",38.8890591,-77.04017
"49",1859,"St. John's Church","Washington","District of Columbia","Charles H. Hall","William R. Whittingham","Thomas Gallaudet","promotional","once","Washington, District of Columbia",38.8890591,-77.04017
"50",1859,"St. John's Church","Washington","District of Columbia","Charles H. Hall","William R. Whittingham","Thomas Gallaudet","itinerant","once","Washington, District of Columbia",38.8890591,-77.04017
"51",1873,"St. Mark's Church","Washington","District of Columbia","A. Floridus Steele","William R. Whittingham","Thomas Gallaudet","itinerant","","Washington, District of Columbia",38.8890591,-77.04017
"52",1874,"St. Mark's Church","Washington","District of Columbia","A. Floridus Steele","William R.Whittingham","","occasional","intermittent","Washington, District of Columbia",38.8890591,-77.04017
"53",1875,"St. Mark's Church","Washington","District of Columbia","A. Floridus Steele","William R. Whittingham","","itinerant","intermittent","Washington, District of Columbia",38.8890591,-77.04017
"54",1876,"St. Mark's Church","Washington","District of Columbia","A. Floridus Steele","William R. Whittingham","Gallaudet, Chamberlain","Itinerant","intermittent","Washington, District of Columbia",38.8890591,-77.04017
"55",1877,"St. Mark's Church","Washington","District of Columbia","A. Floridus Steele","William R. Whittingham","Chamberlain","Itinerant","intermittent","Washington, District of Columbia",38.8890591,-77.04017
"56",1879,"Church of the Epiphany","Washington","District of Columbia","William Paret","William R. Whittingham","Chamberlain","promotional","once","Washington, District of Columbia",38.8890591,-77.04017
"57",1880,"Ascension Church","Washington","District of Columbia","John H. Elliott","William R. Whittingham","Chamberlain","promotional","once","Washington, District of Columbia",38.8890591,-77.04017
"58",1878,"","Savannah","Georgia","","John W. Beckwith","Job Turner","Itinerant","","Savannah, Georgia",32.0809263,-81.0911768
"59",1878,"St. Philip's Church","Atlanta","Georgia","","John W. Beckwith","Job Turner","Itinerant","","Atlanta, Georgia",33.7489924,-84.3902644
"60",1878,"","Cave Springs","Georgia","","John W. Beckwith","Job Turner","Itinerant","","Cave Springs, Georgia",34.1959403,-83.6115562
"61",1878,"Georgia Institution for Deaf-Mutes","Cave Springs","Georgia","","","Job Turner","Itinerant","","Cave Springs, Georgia",34.1959403,-83.6115562
"62",1879,"St. Stephen's Colored Church","Savannah","Georgia","Robert Landsberger","John W. Beckwith","Gallaudet, Turner","itinerant","","Savannah, Georgia",32.0809263,-81.0911768
"63",1879,"Christ Church","Savannah","Georgia","Thomas Boone","John W. Beckwith","Gallaudet, Turner","itinerant","","Savannah, Georgia",32.0809263,-81.0911768
"64",1879,"Church of the Good Shepherd","Cave Springs","Georgia","W. E. Epps","John W. Beckwith","Gallaudet, Turner","itinerant","","Cave Springs, Georgia",34.1959403,-83.6115562
"65",1879,"St. Philip's Church","Atlanta","Georgia","R. C. Foute","John W. Beckwith","Turner","itinerant","","Atlanta, Georgia",33.7489924,-84.3902644
"66",1879,"Emmanuel Church","Athens","Georgia","Edward H. Ingle","John W. Beckwith","Turner","itinerant","","Athens, Georgia",33.9597677,-83.376398
"67",1858,"St. James' Church","Chicago","Illinois","Robert Clarkson","Henry J. Whitehouse","Thomas Gallaudet","itinerant","once","Chicago, Illinois",41.8755616,-87.6244212
"68",1875,"St. James' Church","Chicago","Illinois","Samuel S. Harris","William E. McLaren","Austin Mann","itinerant","intermittent","Chicago, Illinois",41.8755616,-87.6244212
"69",1876,"St. James' Church","Chicago","Illinois","Samuel S. Harris","William E. McLaren","Austin Mann","itinerant","intermittent","Chicago, Illinois",41.8755616,-87.6244212
"70",1877,"St. James' Church","Chicago","Illinois","Samuel S. Harris","William E. McLaren","Austin Mann","itinerant","Intermittent","Chicago, Illinois",41.8755616,-87.6244212
"71",1878,"Emmanuel Church","Rockford","Illinois","A.W. Snyder","William E. McLaren","Austin Mann","Itinerant","intermittent","Rockford, Illinois",42.2713945,-89.093966
"72",1878,"Grace Church","Galesburg","Illinois","George H. Higgins","Alexander Burgess","Austin Mann","Itinerant","intermittent","Galesburg, Illinois",40.9479779,-90.3705842
"73",1878,"Cathedral of St. Peter and St. Paul","Chicago","Illinois","J.H. Knowles","William E. McLaren","Gallaudet","Itinerant","once","Chicago, Illinois",41.8755616,-87.6244212
"74",1878,"St. Paul's Church","Springfield","Illinois","John W. Philips","George F. Seymour","Gallaudet and Mann","Itinerant","once","Springfield, Illinois",39.7990175,-89.6439575
"75",1878,"St. John's Cathedral","Quincy","Illinois","William B. Corbyn","Alexander Burgess","Gallaudet and Mann","Itinerant","once","Quincy, Illinois",39.9356016,-91.4098727
"76",1878,"Grace Church","Galesburg","Illinois","George H. Higgins","Alexander Burgess","Gallaudet and Mann","Itinerant","once","Galesburg, Illinois",40.9479779,-90.3705842
"77",1878,"Church of the Redeemer","Princeton","Illinois","Vacant","Alexander Burgess","Gallaudet and Mann","Itinerant","once","Princeton, Illinois",41.368092,-89.4648145
"78",1878,"St. James' Church","Chicago","Illinois","Samuel S. Harris","William E. McLaren","Holmes, Mann, Gallaudet","occasional","intermittent","Chicago, Illinois",41.8755616,-87.6244212
"79",1878,"","Chicago","Illinois","","William E. McLaren","Job Turner","Itinerant","","Chicago, Illinois",41.8755616,-87.6244212
"80",1878,"Illinois Institution for Deaf-Mutes","Jacksonville","Illinois","","","Job Turner","Itinerant","","Jacksonville, Illinois",39.7343037,-90.2288356
"81",1878,"Grace Church","Chicago","Illinois","Clifton Locke","William E. McLaren","Mann and Gallaudet","itinerant","once","Chicago, Illinois",41.8755616,-87.6244212
"82",1878,"Trinity Church","Jacksonville","Illinois","John D. Easter","George F. Seymour","Mann and Gallaudet","Itinerant","once","Jacksonville, Illinois",39.7343037,-90.2288356
"83",1879,"Trinity Church","Jacksonville","Illinois","John D. Easter","George F. Seymour","Austin Mann","Itinerant","once","Jacksonville, Illinois",39.7343037,-90.2288356
"84",1879,"Trinity Church","Chicago","Illinois","R.A. Holland","William E. McLaren","Austin Mann","itinerant","","Chicago, Illinois",41.8755616,-87.6244212
"85",1879,"Emmanuel Church","Rockford","Illinois","A.W. Snyder","William E. McLaren","Austin Mann","itinerant","","Rockford, Illinois",42.2713945,-89.093966
"86",1879,"St. James' Church","Chicago","Illinois","Frederick Courtney","William E. McLaren","Mann and Gallaudet","itinerant","","Chicago, Illinois",41.8755616,-87.6244212
"87",1879,"St. Paul's Church","Peoria","Illinois","William B. Morrow","Alexander Burgess","Mann and Gallaudet","itinerant","once","Peoria, Illinois",40.6938609,-89.5891008
"88",1879,"Trinity Church","Rock Island","Illinois","Alonzo B. Allen","Alexander Burgess","Mann and Gallaudet","promotional","once","Rock Island, Illinois",41.4411786,-90.5766144
"89",1879,"Christ Church","Joliet","Illinois","Henry C. Kinney","William E. McLaren","Austin Mann","itinerant","once","Joliet, Illinois",41.5263603,-88.0840212
"90",1879,"Illinois Institution for Deaf-Mutes","Jacksonville","Illinois","","","Austin Mann","itinerant","once","Jacksonville, Illinois",39.7343037,-90.2288356
"91",1879,"Grace Church","Galesburg","Illinois","George H. Higgins","Alexander Burgess","Austin Mann","itinerant","once","Galesburg, Illinois",40.9479779,-90.3705842
"92",1880,"Church of the Redeemer","Cairo","Illinois","David A. Bonnar","George F. Seymour","Austin Mann","itinerant","once","Cairo, Illinois",37.0057958,-89.1772449
"93",1880,"Trinity Church","Jacksonville","Illinois","John D. Easter","George F. Seymour","Austin Mann","itinerant","","Jacksonville, Illinois",39.7343037,-90.2288356
"94",1880,"Trinity Church","Mattoon","Illinois","Charles J. Hendley","George F. Seymour","Austin Mann","itinerant","once","Mattoon, Illinois",39.4842821,-88.3773279
"95",1880,"St. James Church","Chicago","Illinois","Frederick Courtney","William E. McLaren","Gallaudet and Mann","itinerant","","Chicago, Illinois",41.8755616,-87.6244212
"96",1880,"Cathedral","Chicago","Illinois","William E. McLaren","William E. McLaren","Austin Mann","itinerant","once","Chicago, Illinois",41.8755616,-87.6244212
"97",1880,"Emmanuel Church","Rockford","Illinois","A.W. Snyder","William E. McLaren","Austin Mann","itinerant","once","Rockford, Illinois",42.2713945,-89.093966
"98",1877,"Trinity Church","Jacksonville","Illinois","John D. Easter","George F. Seymour","Austin Mann","Itinerant","once","Jacksonville, Illinois",39.7343037,-90.2288356
"99",1877,"Christ Church","Indianapolis","Indiana","Edward A. Bradley","Joseph C. Talbot","Mann and Gallaudet","promotional","once","Indianapolis, Indiana",39.7683331,-86.1583502
"100",1878,"Christ Church","Indianapolis","Indiana","Edward A. Bradley","Joseph C. Talbot","Austin Mann","Itinerant","intermittent","Indianapolis, Indiana",39.7683331,-86.1583502
"101",1878,"Trinity Church","Michigan City","Indiana","Samuel A. French","Joseph C. Talbot","Austin Mann","Itinerant","intermittent","Michigan City, Indiana",41.7075394,-86.8950297
"102",1878,"Trinity Church","Fort Wayne","Indiana","Colin C. Tate","Joseph C. Talbot","Gallaudet","Itinerant","once","Fort Wayne, Indiana",41.0799898,-85.1386015
"103",1877,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","","","Austin Mann","Itinerant","once","Indianapolis, Indiana",39.7683331,-86.1583502
"104",1878,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","","","Mann and Turner","Itinerant","","Indianapolis, Indiana",39.7683331,-86.1583502
"105",1878,"St. Paul's Cathedral","Indianapolis","Indiana","J. Sanders Reed","Joseph C. Talbot","Mann and Gallaudet","Itinerant","once","Indianapolis, Indiana",39.7683331,-86.1583502
"106",1878,"Church of the Holy Communion","Indianapolis","Indiana","George B. Engle","Joseph C. Talbot","Mann and Gallaudet","Itinerant","once","Indianapolis, Indiana",39.7683331,-86.1583502
"107",1879,"Christ Church","Indianapolis","Indiana","Edward A. Bradley","Joseph C. Talbot","Austin Mann","itinerant","","Indianapolis, Indiana",39.7683331,-86.1583502
"108",1878,"St. James' Church","South Bend","Indiana","Alfred T. Perkins","Joseph C. Talbot","Austin Mann","itinerant","once","South Bend, Indiana",41.6833813,-86.2500066
"109",1879,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","","","Austin Mann","itinerant","intermittent","Indianapolis, Indiana",39.7683331,-86.1583502
"110",1878,"Grace Church","Muncie","Indiana","Jesse R. Bicknell","Joseph C. Talbot","Austin Mann","itinerant","once","Muncie, Indiana",40.1936892,-85.3865271
"111",1879,"St. Paul's Church","Evansville","Indiana","W.N. Webbe","Joseph C. Talbot","Austin Mann","itinerant","once","Evansville, Indiana",37.9747645,-87.5558483
"112",1879,"Trinity Church","Michigan City","Indiana","Charles J. Wood","Joseph C. Talbot","Austin Mann","itinerant","intermittent","Michigan City, Indiana",41.7075394,-86.8950297
"113",1879,"St. Paul's Church","New Albany","Indiana","Francis B. Dunham","Joseph C. Talbot","Austin Mann","itinerant","once","New Albany, Indiana",38.2856247,-85.8241312
"114",1879,"St. Paul's Church","Richmond","Indiana","J.B. Wakefield","Joseph C. Talbot","Austin Mann","itinerant","once","Richmond, Indiana",39.8286897,-84.8898521
"115",1880,"St. Thomas Church","Plymouth","Indiana","J.J. Faude","Joseph C. Talbot","Austin Mann","itinerant","intermittent","Plymouth, Indiana",41.3436555,-86.3097278
"116",1880,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","","","Austin Mann","itinerant","intermittent","Indianapolis, Indiana",39.7683331,-86.1583502
"117",1880,"Christ Church","Indianapolis","Indiana","Edward A. Bradley","Joseph C. Talbot","Austin Mann","itinerant","intermittent","Indianapolis, Indiana",39.7683331,-86.1583502
"118",1880,"Grace Church","Muncie","Indiana","Jessie R. Bicknell","Joseph C. Talbot","Austin Mann","itinerant","once","Muncie, Indiana",40.1936892,-85.3865271
"119",1880,"Trinity Church","Michigan City","Indiana","Charles J. Wood","Joseph C. Talbot","Austin Mann","itinerant","intermittent","Michigan City, Indiana",41.7075394,-86.8950297
"120",1880,"St. Paul's Church","Richmond","Indiana","J.B. Wakefield","Joseph C. Talbot","Austin Mann","itinerant","once","Richmond, Indiana",39.8286897,-84.8898521
"121",1880,"Trinity Church","Fort Wayne","Indiana","William M. Webbe","Joseph C. Talbot","Austin Mann","itinerant","once","Fort Wayne, Indiana",41.0799898,-85.1386015
"122",1880,"Schoolhouse","Waterford","Indiana","","","Austin Mann","itinerant","once","Waterford, Indiana",41.6714294,-86.8450276
"123",1879,"Grace Cathedral","Davenport","Iowa","W.H. Barris","William S. Perry","Mann and Gallaudet","","once","Davenport, Iowa",41.5236436,-90.5776368
"124",1879,"St. Paul's Church","Des Moines","Iowa","Joseph S. Jenckes","William S. Perry","Mann and Gallaudet","","once","Des Moines, Iowa",41.5910323,-93.6046655
"125",1879,"St. Paul's Church","Council Bluffs","Iowa","Frederick T. Webb","William S. Perry","Mann and Gallaudet","","once","Council Bluffs, Iowa",41.2621283,-95.8613912
"126",1879,"Iowa Institution for Deaf-Mutes","Council Bluffs","Iowa","","","Mann and Gallaudet","","once","Council Bluffs, Iowa",41.2621283,-95.8613912
"127",1879,"College Chapel","Davenport","Iowa","William S. Perry","William S. Perry","Austin Mann","itinerant","once","Davenport, Iowa",41.5236436,-90.5776368
"128",1878,"Kansas Institution for Deaf-Mutes","Olathe","Kansas","","","Job Turner","Itinerant","","Olathe, Kansas",38.8838856,-94.81887
"129",1879,"Trinity Church","Atchison","Kansas","Frank O. Osborne","Thomas H. Vail","Mann and Gallaudet","promotional","once","Atchison, Kansas",39.545816,-95.3326052
"130",1879,"Grace Cathedral","Topeka","Kansas","Thomas H. Vail","Thomas H. Vail","Mann and Gallaudet","promotional","once","Topeka, Kansas",39.049011,-95.677556
"131",1879,"Kansas Institution for the Deaf and Dumb","Olathe","Kansas","","","Mann and Gallaudet","promotional","once","Olathe, Kansas",38.8838856,-94.81887
"132",1877,"St. Paul's Church","Newport","Kentucky","W.M. Pettis","Benjamin B. Smith","Mann and Gallaudet","promotional","once","Newport, Kentucky",39.0889469,-84.4919524
"133",1877,"Christ Church","Louisville","Kentucky","James Craik","Benjamin B. Smith","Mann and Gallaudet","promotional","once","Louisville, Kentucky",38.2542376,-85.759407
"134",1878,"Christ Church","Louisville","Kentucky","James Craik","Benjamin B. Smith","Austin Mann","Itinerant","once","Louisville, Kentucky",38.2542376,-85.759407
"135",1878,"St. Paul's Church","Newport","Kentucky","W.M. Pettis","Benjamin B. Smith","Austin Mann","Itinerant","once","Newport, Kentucky",39.0889469,-84.4919524
"136",1878,"","Louisville","Kentucky","","Benjamin B. Smith","Job Turner","Itinerant","","Louisville, Kentucky",38.2542376,-85.759407
"137",1878,"Kentucky Institution for Deaf-Mutes","Danville","Kentucky","","","Job Turner","Itinerant","","Danville, Kentucky",37.6456488,-84.7721823
"138",1879,"Grace Church","Hopkinsville","Kentucky","Charles Morris","Benjamin B. Smith","Job Turner","itinerant","","Hopkinsville, Kentucky",36.8657651,-87.4889532
"139",1878,"Christ Church","New Orleans","Louisiana","William T. Leacock","Joseph P.B. Wilmer","Job Turner","Itinerant","","New Orleans, Louisiana",29.9499323,-90.0701156
"140",1878,"Louisiana Institution for Deaf-Mutes","Baton Rouge","Louisiana","","","Job Turner","Itinerant","","Baton Rouge, Louisiana",30.4459596,-91.18738
"141",1879,"Christ Church","New Orleans","Louisiana","William T. Leacock","John N. Galleher","Gallaudet, Turner","itinerant","","New Orleans, Louisiana",29.9499323,-90.0701156
"142",1879,"St. Paul's Church","New Orleans","Louisiana","Henry H. Waters","John N. Galleher","Turner","itinerant","","New Orleans, Louisiana",29.9499323,-90.0701156
"143",1862,"St. Stephen's Church","Portland","Maine","Williams Stevens Perry","George Burgess","Thomas Gallaudet","itinerant","once","Portland, Maine",43.6610277,-70.2548596
"144",1873,"St. John's Church","Lowell","Massachusetts","Leander C. Manchester","Benjamin H. Paddock","","","","Lowell, Massachusetts",42.6334247,-71.3161718
"145",1873,"Christ Church","Biddeford","Maine","William J. Alger","Henry A. Neely","","","","Biddeford, Maine",43.4925843,-70.4533844
"146",1873,"Trinity Church","Saco","Maine","William J. Alger","Henry A. Neely","","","","Saco, Maine",43.5009176,-70.4428286
"147",1877,"Trinity Church","Saco","Maine","William J. Alger","Henry A. Neely","Job Turner","Itinerant","intermittent","Saco, Maine",43.5009176,-70.4428286
"148",1877,"St. Luke's Cathedral","Portland","Maine","Henry A. Neely","Henry A. Neely","Job Turner","Itinerant","once","Portland, Maine",43.6610277,-70.2548596
"149",1877,"Trinity Church","Lewiston","Maine","William H. Washburn","Henry A. Neely","Job Turner","Itinerant","once","Lewiston, Maine",44.100351,-70.2147764
"150",1877,"Grace Church","Bath","Maine","John Gregson","Henry A. Neely","Job Turner","Itinerant","once","Bath, Maine",43.910755,-69.820862
"151",1877,"St, Mark's Church","Augusta","Maine","Samuel Upjohn","Henry A. Neely","Job Turner","Itinerant","once","Augusta, Maine",44.310545,-69.7792759
"152",1877,"","Damariscotta","Maine","","","Job Turner","Itinerant","once","Damariscotta, Maine",44.0328573,-69.5186585
"153",1877,"","Belfast","Maine","","","Job Turner","Itinerant","once","Belfast, Maine",44.4261194,-69.0067359
"154",1878,"St. John's Church","Bangor","Maine","Vacant","Henry A. Neely","Job Turner","Itinerant","","Bangor, Maine",44.8011821,-68.7778138
"155",1878,"St. Mark's Church","Augusta","Maine","Samuel Upjohn","Henry A. Neely","Job Turner","Itinerant","","Augusta, Maine",44.310545,-69.7792759
"156",1878,"Trinity Church","Lewiston","Maine","William H. Washburn","Henry A. Neely","Job Turner","Itinerant","","Lewiston, Maine",44.100351,-70.2147764
"157",1878,"Trinity Church","Saco","Maine","William J. Alger","Henry A. Neely","Job Turner","Itinerant","","Saco, Maine",43.5009176,-70.4428286
"158",1878,"St. Luke's Cathedral","Portland","Maine","Henry A. Neely","Henry A. Neely","Job Turner","Itinerant","","Portland, Maine",43.6610277,-70.2548596
"159",1879,"St. Mark's Church","Augusta","Maine","Samuel Upjohn","Henry A. Neely","William Bailey","occasional","intermittent","Augusta, Maine",44.310545,-69.7792759
"160",1879,"Trinity Church","Lewiston","Maine","Samuel Upjohn","Henry A. Neely","William Bailey","occasional","intermittent","Lewiston, Maine",44.100351,-70.2147764
"161",1879,"","Belfast","Maine","","","William Bailey","occasional","intermittent","Belfast, Maine",44.4261194,-69.0067359
"162",1879,"","New Gloucester","Maine","","","William Bailey","occasional","intermittent","New Gloucester, Maine",43.963168,-70.282974
"163",1879,"","South Windham","Maine","","","William Bailey","occasional","intermittent","South Windham, Maine",43.7361901,-70.4236631
"164",1880,"St. Mark's Church","Augusta","Maine","Samuel Upjohn","Henry A. Neely","William Bailey","occasional","intermittent","Augusta, Maine",44.310545,-69.7792759
"165",1880,"","Belfast","Maine","","","William Bailey","occasional","intermittent","Belfast, Maine",44.4261194,-69.0067359
"166",1880,"Trinity Church","Lewiston","Maine","William H. Washburn","Henry A. Neely","William Bailey","occasional","intermittent","Lewiston, Maine",44.100351,-70.2147764
"167",1859,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"168",1859,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Thomas Gallaudet","itinerant","once","Baltimore, Maryland",39.2908816,-76.610759
"169",1860,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"170",1860,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Ijams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"171",1861,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Samuel Adams","regular","weekly","Baltimore, Maryland",39.2908816,-76.610759
"172",1861,"Grace Church","Baltimore","Maryland","A. Cleveland Coxe","William R. Whittingham","Thomas Gallaudet","occasional","once","Baltimore, Maryland",39.2908816,-76.610759
