"year","facility","city","state","cmdmWorker","serviceRegularity","serviceFrequency","geometry.lat","geometry.lng"
1876,"St. James' Church","New London","Connecticut","Gallaudet, Chamberlain","Itinerant","intermittent",41.355556,-72.099444
1876,"St. Paul's Church","Bridgeport","Connecticut","R.D. Beers","occasional","intermittent",41.186389,-73.2048348
1876,"St. Paul's Church","New Haven","Connecticut","Thomas Gallaudet","promotional","once",41.31,-72.923611
1877,"St. Paul's Church","Bridgeport","Connecticut","Chamberlain","occasional","intermittent",41.186389,-73.2048348
1877,"Park Congregational Church","Norwich","Connecticut","Gallaudet, Turner","itinerant","once",41.550278,-72.0875
1878,"Trinity Church","Hartford","Connecticut","Gallaudet","itinerant","once",41.7625,-72.674167
1878,"St. Paul's Church","Bridgeport","Connecticut","R.D. Beers","","intermittent",41.186389,-73.2048348
1879,"St. Paul's Church","Bridgeport","Connecticut","R.D. Beers","","intermittent",41.186389,-73.2048348
1879,"Christ Church","Norwich","Connecticut","Turner","itinerant","once",41.550278,-72.0875
1879,"St. Andrew's Church","Meriden","Connecticut","Turner","itinerant","once",41.536667,-72.794722
1879,"Trinity Church","Hartford","Connecticut","Turner","itinerant","once",41.7625,-72.674167
1880,"St. Paul's Church","Bridgeport","Connecticut","R.D. Beers","","intermittent",41.186389,-73.2048348
1859,"Christ Church","Guilford","Connecticut","Thomas Gallaudet","promotional","once",41.2889866,-72.6817616
1859,"Christ Church","Guilford","Connecticut","Thomas Gallaudet","itinerant","once",41.2889866,-72.6817616
1859,"St. Paul's Church","Hartford","Connecticut","Thomas Gallaudet","promotional","once",41.7625,-72.674167
1859,"St. Paul's Church","Hartford","Connecticut","Thomas Gallaudet","itinerant","once",41.7625,-72.674167
1859,"Trinity Church","Southport","Connecticut","Thomas Gallaudet","promotional","once",41.1364856,-73.2834486
1859,"Trinity Church","Southport","Connecticut","Thomas Gallaudet","itinerant","once",41.1364856,-73.2834486
1861,"St. Paul's Church","Hartford","Connecticut","Thomas Gallaudet","occasional","once",41.7625,-72.674167
1861,"Christ Church","New Haven","Connecticut","Thomas Gallaudet","occasional","once",41.31,-72.923611
1860,"Trinity Church","Norwich","Connecticut","Thomas Gallaudet","occasional","intermittent",41.550278,-72.0875
1861,"Trinity Church","Norwich","Connecticut","Thomas Gallaudet","occasional","intermittent",41.550278,-72.0875
1876,"Trinity Church","Wilmington","Delaware","Gallaudet, Chamberlain","Itinerant","intermittent",39.7459468,-75.546589
1879,"Trinity Church","Wilmington","Delaware","Turner","itinerant","intermittent",39.7459468,-75.546589
1859,"Church of the Epiphany","Washington","District of Columbia","Thomas Gallaudet","promotional","once",38.8949855,-77.0365708
1859,"Church of the Epiphany","Washington","District of Columbia","Thomas Gallaudet","itinerant","once",38.8949855,-77.0365708
1859,"St. John's Church","Washington","District of Columbia","Thomas Gallaudet","promotional","once",38.8949855,-77.0365708
1859,"St. John's Church","Washington","District of Columbia","Thomas Gallaudet","itinerant","once",38.8949855,-77.0365708
1873,"St. Mark's Church","Washington","District of Columbia","Thomas Gallaudet","itinerant","",38.8949855,-77.0365708
1874,"St. Mark's Church","Washington","District of Columbia","","occasional","intermittent",38.8949855,-77.0365708
1875,"St. Mark's Church","Washington","District of Columbia","","itinerant","intermittent",38.8949855,-77.0365708
1876,"St. Mark's Church","Washington","District of Columbia","Gallaudet, Chamberlain","Itinerant","intermittent",38.8949855,-77.0365708
1877,"St. Mark's Church","Washington","District of Columbia","Chamberlain","Itinerant","intermittent",38.8949855,-77.0365708
1879,"Church of the Epiphany","Washington","District of Columbia","Chamberlain","promotional","once",38.8949855,-77.0365708
1880,"Ascension Church","Washington","District of Columbia","Chamberlain","promotional","once",38.8949855,-77.0365708
1878,"","Savannah","Georgia","Job Turner","Itinerant","",32.0809263,-81.0911768
1878,"St. Philip's Church","Atlanta","Georgia","Job Turner","Itinerant","",33.7490987,-84.3901849
1878,"","Cave Springs","Georgia","Job Turner","Itinerant","",34.108889,-85.336111
1878,"Georgia Institution for Deaf-Mutes","Cave Springs","Georgia","Job Turner","Itinerant","",34.108889,-85.336111
1879,"St. Stephen's Colored Church","Savannah","Georgia","Gallaudet, Turner","itinerant","",32.0809263,-81.0911768
1879,"Christ Church","Savannah","Georgia","Gallaudet, Turner","itinerant","",32.0809263,-81.0911768
1879,"Church of the Good Shepherd","Cave Springs","Georgia","Gallaudet, Turner","itinerant","",34.108889,-85.336111
1879,"St. Philip's Church","Atlanta","Georgia","Turner","itinerant","",33.7490987,-84.3901849
1879,"Emmanuel Church","Athens","Georgia","Turner","itinerant","",33.9597677,-83.376398
1858,"St. James' Church","Chicago","Illinois","Thomas Gallaudet","itinerant","once",41.881944,-87.627778
1875,"St. James' Church","Chicago","Illinois","Austin Mann","itinerant","intermittent",41.881944,-87.627778
1876,"St. James' Church","Chicago","Illinois","Austin Mann","itinerant","intermittent",41.881944,-87.627778
1877,"St. James' Church","Chicago","Illinois","Austin Mann","itinerant","Intermittent",41.881944,-87.627778
1878,"Emmanuel Church","Rockford","Illinois","Austin Mann","Itinerant","intermittent",42.2713945,-89.093966
1878,"Grace Church","Galesburg","Illinois","Austin Mann","Itinerant","intermittent",40.9479779,-90.3705842
1878,"Cathedral of St. Peter and St. Paul","Chicago","Illinois","Gallaudet","Itinerant","once",41.881944,-87.627778
1878,"St. Paul's Church","Springfield","Illinois","Gallaudet and Mann","Itinerant","once",39.7990175,-89.6439575
1878,"St. John's Cathedral","Quincy","Illinois","Gallaudet and Mann","Itinerant","once",39.9356016,-91.4098727
1878,"Grace Church","Galesburg","Illinois","Gallaudet and Mann","Itinerant","once",40.9479779,-90.3705842
1878,"Church of the Redeemer","Princeton","Illinois","Gallaudet and Mann","Itinerant","once",41.368092,-89.4648145
1878,"St. James' Church","Chicago","Illinois","Holmes, Mann, Gallaudet","occasional","intermittent",41.881944,-87.627778
1878,"","Chicago","Illinois","Job Turner","Itinerant","",41.881944,-87.627778
1878,"Illinois Institution for Deaf-Mutes","Jacksonville","Illinois","Job Turner","Itinerant","",39.7343037,-90.2288356
1878,"Grace Church","Chicago","Illinois","Mann and Gallaudet","itinerant","once",41.881944,-87.627778
1878,"Trinity Church","Jacksonville","Illinois","Mann and Gallaudet","Itinerant","once",39.7343037,-90.2288356
1879,"Trinity Church","Jacksonville","Illinois","Austin Mann","Itinerant","once",39.7343037,-90.2288356
1879,"Trinity Church","Chicago","Illinois","Austin Mann","itinerant","",41.881944,-87.627778
1879,"Emmanuel Church","Rockford","Illinois","Austin Mann","itinerant","",42.2713945,-89.093966
1879,"St. James' Church","Chicago","Illinois","Mann and Gallaudet","itinerant","",41.881944,-87.627778
1879,"St. Paul's Church","Peoria","Illinois","Mann and Gallaudet","itinerant","once",40.6938609,-89.5891008
1879,"Trinity Church","Rock Island","Illinois","Mann and Gallaudet","promotional","once",41.489167,-90.573056
1879,"Christ Church","Joliet","Illinois","Austin Mann","itinerant","once",41.5263603,-88.0840212
1879,"Illinois Institution for Deaf-Mutes","Jacksonville","Illinois","Austin Mann","itinerant","once",39.7343037,-90.2288356
1879,"Grace Church","Galesburg","Illinois","Austin Mann","itinerant","once",40.9479779,-90.3705842
1880,"Church of the Redeemer","Cairo","Illinois","Austin Mann","itinerant","once",37.0057958,-89.1772449
1880,"Trinity Church","Jacksonville","Illinois","Austin Mann","itinerant","",39.7343037,-90.2288356
1880,"Trinity Church","Mattoon","Illinois","Austin Mann","itinerant","once",39.4842821,-88.3773279
1880,"St. James Church","Chicago","Illinois","Gallaudet and Mann","itinerant","",41.881944,-87.627778
1880,"Cathedral","Chicago","Illinois","Austin Mann","itinerant","once",41.881944,-87.627778
1880,"Emmanuel Church","Rockford","Illinois","Austin Mann","itinerant","once",42.2713945,-89.093966
1877,"Trinity Church","Jacksonville","Illinois","Austin Mann","Itinerant","once",39.7343037,-90.2288356
1877,"Christ Church","Indianapolis","Indiana","Mann and Gallaudet","promotional","once",39.7683331,-86.1583502
1878,"Christ Church","Indianapolis","Indiana","Austin Mann","Itinerant","intermittent",39.7683331,-86.1583502
1878,"Trinity Church","Michigan City","Indiana","Austin Mann","Itinerant","intermittent",41.7075394,-86.8950297
1878,"Trinity Church","Fort Wayne","Indiana","Gallaudet","Itinerant","once",41.0799898,-85.1386015
1877,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","Austin Mann","Itinerant","once",39.7683331,-86.1583502
1878,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","Mann and Turner","Itinerant","",39.7683331,-86.1583502
1878,"St. Paul's Cathedral","Indianapolis","Indiana","Mann and Gallaudet","Itinerant","once",39.7683331,-86.1583502
1878,"Church of the Holy Communion","Indianapolis","Indiana","Mann and Gallaudet","Itinerant","once",39.7683331,-86.1583502
1879,"Christ Church","Indianapolis","Indiana","Austin Mann","itinerant","",39.7683331,-86.1583502
1878,"St. James' Church","South Bend","Indiana","Austin Mann","itinerant","once",41.6833813,-86.2500066
1879,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","Austin Mann","itinerant","intermittent",39.7683331,-86.1583502
1878,"Grace Church","Muncie","Indiana","Austin Mann","itinerant","once",40.1936892,-85.3865271
1879,"St. Paul's Church","Evansville","Indiana","Austin Mann","itinerant","once",37.9747645,-87.5558483
1879,"Trinity Church","Michigan City","Indiana","Austin Mann","itinerant","intermittent",41.7075394,-86.8950297
1879,"St. Paul's Church","New Albany","Indiana","Austin Mann","itinerant","once",38.2856247,-85.8241312
1879,"St. Paul's Church","Richmond","Indiana","Austin Mann","itinerant","once",39.8286897,-84.8898521
1880,"St. Thomas Church","Plymouth","Indiana","Austin Mann","itinerant","intermittent",41.3436555,-86.3097278
1880,"Indiana Institution for Deaf-Mutes","Indianapolis","Indiana","Austin Mann","itinerant","intermittent",39.7683331,-86.1583502
1880,"Christ Church","Indianapolis","Indiana","Austin Mann","itinerant","intermittent",39.7683331,-86.1583502
1880,"Grace Church","Muncie","Indiana","Austin Mann","itinerant","once",40.1936892,-85.3865271
1880,"Trinity Church","Michigan City","Indiana","Austin Mann","itinerant","intermittent",41.7075394,-86.8950297
1880,"St. Paul's Church","Richmond","Indiana","Austin Mann","itinerant","once",39.8286897,-84.8898521
1880,"Trinity Church","Fort Wayne","Indiana","Austin Mann","itinerant","once",41.0799898,-85.1386015
1880,"Schoolhouse","Waterford","Indiana","Austin Mann","itinerant","once",41.6714294,-86.8450276
1879,"Grace Cathedral","Davenport","Iowa","Mann and Gallaudet","","once",41.5236436,-90.5776368
1879,"St. Paul's Church","Des Moines","Iowa","Mann and Gallaudet","","once",41.5910641,-93.6037149
1879,"St. Paul's Church","Council Bluffs","Iowa","Mann and Gallaudet","","once",41.2621283,-95.8613912
1879,"Iowa Institution for Deaf-Mutes","Council Bluffs","Iowa","Mann and Gallaudet","","once",41.2621283,-95.8613912
1879,"College Chapel","Davenport","Iowa","Austin Mann","itinerant","once",41.5236436,-90.5776368
1878,"Kansas Institution for Deaf-Mutes","Olathe","Kansas","Job Turner","Itinerant","",38.8838856,-94.81887
1879,"Trinity Church","Atchison","Kansas","Mann and Gallaudet","promotional","once",39.5625,-95.128333
1879,"Grace Cathedral","Topeka","Kansas","Mann and Gallaudet","promotional","once",39.049011,-95.677556
1879,"Kansas Institution for the Deaf and Dumb","Olathe","Kansas","Mann and Gallaudet","promotional","once",38.8838856,-94.81887
1877,"St. Paul's Church","Newport","Kentucky","Mann and Gallaudet","promotional","once",39.0889469,-84.4919524
1877,"Christ Church","Louisville","Kentucky","Mann and Gallaudet","promotional","once",38.2542376,-85.759407
1878,"Christ Church","Louisville","Kentucky","Austin Mann","Itinerant","once",38.2542376,-85.759407
1878,"St. Paul's Church","Newport","Kentucky","Austin Mann","Itinerant","once",39.0889469,-84.4919524
1878,"","Louisville","Kentucky","Job Turner","Itinerant","",38.2542376,-85.759407
1878,"Kentucky Institution for Deaf-Mutes","Danville","Kentucky","Job Turner","Itinerant","",37.6456488,-84.7721823
1879,"Grace Church","Hopkinsville","Kentucky","Job Turner","itinerant","",36.8657651,-87.4889532
1878,"Christ Church","New Orleans","Louisiana","Job Turner","Itinerant","",29.9499323,-90.0701156
1878,"Louisiana Institution for Deaf-Mutes","Baton Rouge","Louisiana","Job Turner","Itinerant","",30.4459596,-91.18738
1879,"Christ Church","New Orleans","Louisiana","Gallaudet, Turner","itinerant","",29.9499323,-90.0701156
1879,"St. Paul's Church","New Orleans","Louisiana","Turner","itinerant","",29.9499323,-90.0701156
1862,"St. Stephen's Church","Portland","Maine","Thomas Gallaudet","itinerant","once",43.6610277,-70.2548596
1873,"St. John's Church","Lowell","Massachusetts","","","",42.6334247,-71.3161718
1873,"Christ Church","Biddeford","Maine","","","",43.4925843,-70.4533844
1873,"Trinity Church","Saco","Maine","","","",43.5009176,-70.4428286
1877,"Trinity Church","Saco","Maine","Job Turner","Itinerant","intermittent",43.5009176,-70.4428286
1877,"St. Luke's Cathedral","Portland","Maine","Job Turner","Itinerant","once",43.6610277,-70.2548596
1877,"Trinity Church","Lewiston","Maine","Job Turner","Itinerant","once",44.100351,-70.2147764
1877,"Grace Church","Bath","Maine","Job Turner","Itinerant","once",43.910755,-69.820862
1877,"St, Mark's Church","Augusta","Maine","Job Turner","Itinerant","once",44.310583,-69.779663
1877,"","Damariscotta","Maine","Job Turner","Itinerant","once",44.0328573,-69.5186585
1877,"","Belfast","Maine","Job Turner","Itinerant","once",44.4261194,-69.0067359
1878,"St. John's Church","Bangor","Maine","Job Turner","Itinerant","",44.8011821,-68.7778138
1878,"St. Mark's Church","Augusta","Maine","Job Turner","Itinerant","",44.310583,-69.779663
1878,"Trinity Church","Lewiston","Maine","Job Turner","Itinerant","",44.100351,-70.2147764
1878,"Trinity Church","Saco","Maine","Job Turner","Itinerant","",43.5009176,-70.4428286
1878,"St. Luke's Cathedral","Portland","Maine","Job Turner","Itinerant","",43.6610277,-70.2548596
1879,"St. Mark's Church","Augusta","Maine","William Bailey","occasional","intermittent",44.310583,-69.779663
1879,"Trinity Church","Lewiston","Maine","William Bailey","occasional","intermittent",44.100351,-70.2147764
1879,"","Belfast","Maine","William Bailey","occasional","intermittent",44.4261194,-69.0067359
1879,"","New Gloucester","Maine","William Bailey","occasional","intermittent",43.963168,-70.282974
1879,"","South Windham","Maine","William Bailey","occasional","intermittent",43.7361901,-70.4236631
1880,"St. Mark's Church","Augusta","Maine","William Bailey","occasional","intermittent",44.310583,-69.779663
1880,"","Belfast","Maine","William Bailey","occasional","intermittent",44.4261194,-69.0067359
1880,"Trinity Church","Lewiston","Maine","William Bailey","occasional","intermittent",44.100351,-70.2147764
1859,"Grace Church","Baltimore","Maryland","Adams","regular","weekly",39.2908816,-76.610759
1859,"Grace Church","Baltimore","Maryland","Thomas Gallaudet","itinerant","once",39.2908816,-76.610759
1860,"Grace Church","Baltimore","Maryland","Adams","regular","weekly",39.2908816,-76.610759
1860,"Grace Church","Baltimore","Maryland","Ijams","regular","weekly",39.2908816,-76.610759
1861,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1861,"Grace Church","Baltimore","Maryland","Thomas Gallaudet","occasional","once",39.2908816,-76.610759
1862,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1863,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1864,"Grace Church","Baltimore","Maryland","John P. Ijams","regular","weekly",39.2908816,-76.610759
1865,"Grace Church","Baltimore","Maryland","John P. Ijams","regular","weekly",39.2908816,-76.610759
1866,"Grace Church","Baltimore","Maryland","John P. Ijams","regular","weekly",39.2908816,-76.610759
1867,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1868,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1869,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1870,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1871,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1872,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1873,"Grace Church","Baltimore","Maryland","Samuel Adams","regular","weekly",39.2908816,-76.610759
1874,"Grace Church","Baltimore","Maryland","John Covell","regular","weekly",39.2908816,-76.610759
1874,"St. Anne's Church","Annapolis","Maryland","","occasional","",38.9786401,-76.492786
1875,"Grace Church","Baltimore","Maryland","Lewis C. Tuck","regular","weekly",39.2908816,-76.610759
1876,"St. Anne's Church","Annapolis","Maryland","Gallaudet, Chamberlain","Itinerant","intermittent",38.9786401,-76.492786
1876,"Grace Church","Baltimore","Maryland","Lewis C. Tuck","regular","weekly",39.2908816,-76.610759
1877,"Grace Church","Baltimore","Maryland","Gallaudet, Chamberlain, Syle","","",39.2908816,-76.610759
1878,"Grace Church","Baltimore","Maryland","Clerc","regular","monthly",39.2908816,-76.610759
1878,"St. John's Church","Hagerstown","Maryland","Gallaudet","Itinerant","once",39.6419219,-77.7202641
1878,"","Baltimore","Maryland","Job Turner","Itinerant","",39.2908816,-76.610759
1878,"St. Anne's Church","Annapolis","Maryland","Turner; Chamberlain","Itinerant","",38.9786401,-76.492786
1878,"Maryland Institution for Deaf-Mutes","Frederick","Maryland","Job Turner","Itinerant","",39.4142186,-77.4109269
1879,"Grace Church","Baltimore","Maryland","Chamberlain","regular","weekly",39.2908816,-76.610759
1879,"All Saints' Church","Frederick","Maryland","Gallaudet and Turner","itinerant","once",39.4142186,-77.4109269
1879,"St. Anne's Church","Annapolis","Maryland","Turner; Chamberlain","itinerant","",38.9786401,-76.492786
1879,"Maryland Institution for the Deaf and Dumb","Frederick","Maryland","Gallaudet, Turner","itinerant","once",39.4142186,-77.4109269
1880,"Grace Church","Baltimore","Maryland","James S. Wells","regular","weekly",39.2908816,-76.610759
1855,"Park Street Church","Boston","Massachusetts","Thomas Gallaudet","itinerant","once",42.3602534,-71.0582912
1855,"Trinity Church","Boston","Massachusetts","Thomas Gallaudet","promotional","once",42.3602534,-71.0582912
1855,"Trinity Church","Boston","Massachusetts","Thomas Gallaudet","itinerant","once",42.3602534,-71.0582912
1856,"St. John's Church","North Adams","Massachusetts","Thomas Gallaudet","itinerant","once",42.6842884,-73.1146149
1859,"St. Paul's Church","Boston","Massachusetts","Thomas Gallaudet","promotional","once",42.3602534,-71.0582912
1859,"St. Paul's Church","Boston","Massachusetts","Thomas Gallaudet","itinerant","once",42.3602534,-71.0582912
1860,"Church of the Advent","Boston","Massachusetts","Thomas Gallaudet","itinerant","once",42.3602534,-71.0582912
1861,"Freeman Place Chapel","Boston","Massachusetts","Thomas Gallaudet","occasional","intermittent",42.3602534,-71.0582912
1862,"Freeman Place Chapel","Boston","Massachusetts","Eastburn Benjamin","regular","weekly",42.3602534,-71.0582912
1864,"Grace Church","Boston","Massachusetts","Thomas Gallaudet","regular","monthly",42.3602534,-71.0582912
1867,"Trinity Church","Boston","Massachusetts","","regular","quarterly",42.3602534,-71.0582912
1871,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1872,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1873,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1873,"Christ Church","Norwich","Massachusetts","","","",42.2889778,-72.8384294
1873,"Christ Church","Springfield","Massachusetts","","","",42.1014831,-72.589811
1873,"All Saints' Church","Worcester","Massachusetts","","","",42.2761217,-71.8058232
1874,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1874,"St. Michael's Church","Marblehead","Massachusetts","","occasional","",42.500096,-70.8578253
1874,"All Saints' Church","Worcester","Massachusetts","","occasional","",42.2761217,-71.8058232
1875,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1876,"Church of the Good Shepherd","Boston","Massachusetts","Thomas Gallaudet","regular","quarterly",42.3602534,-71.0582912
1876,"St. Michael's Church","Marblehead","Massachusetts","Gallaudet, Chamberlain","Itinerant","intermittent",42.500096,-70.8578253
1876,"St. Peter's Church","Salem","Massachusetts","Gallaudet, Chamberlain","Itinerant","intermittent",42.5195292,-70.8967226
1877,"Church of the Good Shepherd","Boston","Massachusetts","Gallaudet, Chamberlain","itinerant","intermittent",42.3602534,-71.0582912
1877,"St. Paul's Church","Boston","Massachusetts","Thomas Gallaudet","itinerant","intermittent",42.3602534,-71.0582912
1877,"St. Michael's Church","Marblehead","Massachusetts","Gallaudet","Itinerant","intermittent",42.500096,-70.8578253
1877,"St. Peter's Church","Salem","Massachusetts","Gallaudet","Itinerant","intermittent",42.5195292,-70.8967226
1877,"St. Peter's Church","Cambridge","Massachusetts","Gallaudet","Itinerant","quarterly",42.3750997,-71.1056157
1877,"St. Paul's Church","Nantucket","Massachusetts","Gallaudet","promotional","once",41.282778,-70.099444
1877,"All Saints' Church","Worcester","Massachusetts","Gallaudet, Mann","promotional","once",42.2761217,-71.8058232
1877,"","Boston","Massachusetts","Job Turner","Itinerant","intermittent",42.3602534,-71.0582912
1877,"Church of the Ascension","Fall River","Massachusetts","Job Turner","Itinerant","intermittent",41.7010642,-71.1546367
1877,"","Cambridge","Massachusetts","Job Turner","Itinerant","once",42.3750997,-71.1056157
1877,"St. Paul's Church","Newburyport","Massachusetts","Thomas Gallaudet ","Itinerant","once",42.8125913,-70.8772751
1877,"St. John's Church","Cambridge","Massachusetts","Gallaudet","promotional","once",42.3750997,-71.1056157
1877,"","Martha's Vineyard","Massachusetts","Job Turner","Itinerant","once",41.4,-70.616667
1878,"St. Paul's Church","Boston","Massachusetts","Job Turner","regular","intermittent",42.3602534,-71.0582912
1878,"St. Peter's Church","Cambridge","Massachusetts","Gallaudet","Itinerant","quarterly",42.3750997,-71.1056157
1878,"Church of the Ascension","Fall River","Massachusetts","Gallaudet","Itinerant","once",41.7010642,-71.1546367
1878,"St. Peter's Church","Beverly","Massachusetts","Gallaudet","itinerant","",42.5584284,-70.8800491
1878,"Grace Church","Lawrence","Massachusetts","Gallaudet","itinerant","once",42.7070354,-71.1631137
1878,"St. Anne's Church","Lowell","Massachusetts","Gallaudet","itinerant","once",42.6334247,-71.3161718
1878,"","Worcester","Massachusetts","Job Turner","Itinerant","",42.2761217,-71.8058232
1878,"St. Peter's Church","Salem","Massachusetts","William Bailey","occasional","intermittent",42.5195292,-70.8967226
1879,"Christ Church","Springfield","Massachusetts","Turner","itinerant","",42.1014831,-72.589811
1879,"St. Anne's Church","Lowell","Massachusetts","Turner","itinerant","",42.6334247,-71.3161718
1879,"Christ Church","Fitchburg","Massachusetts","Turner","itinerant","",42.5903661,-71.8119837
1879,"All Saints' Church","Worcester","Massachusetts","Turner","itinerant","",42.2761217,-71.8058232
1879,"St. Paul's Church","Newburyport","Massachusetts","Turner","itinerant","",42.8125913,-70.8772751
1879,"St. John's Church","Lawrence","Massachusetts","Turner","itinerant","",42.7070354,-71.1631137
1879,"Church of the Good Shepherd","Boston","Massachusetts","William Bailey","regular","biweekly",42.3602534,-71.0582912
1879,"St. Paul's Church","Boston","Massachusetts","William Bailey","regular","monthly",42.3602534,-71.0582912
1879,"St. Peter's Church","Salem","Massachusetts","William Bailey","","",42.5195292,-70.8967226
1879,"St. Peter's Church","Beverly","Massachusetts","William Bailey","","",42.5584284,-70.8800491
1880,"Church of the Good Shepherd","Boston","Massachusetts","Bailey, Gallaudet, Chamberlain","occasional","intermittent",42.3602534,-71.0582912
1880,"St. Matthew's Church","Boston","Massachusetts","Chamberlain","occasional","once",42.3602534,-71.0582912
1880,"","Salem","Massachusetts","William Bailey","occasional","intermittent",42.5195292,-70.8967226
1880,"St. Peter's Church","Beverly","Massachusetts","William Bailey","occasional","intermittent",42.5584284,-70.8800491
1860,"Church of the Advent","Boston","Massachusetts","Thomas Gallaudet","occasional","intermittent",42.3602534,-71.0582912
1861,"Grace Church","Lawrence","Massachusetts","Thomas Gallaudet","occasional","once",42.7070354,-71.1631137
1860,"St. Anne's Church","Lowell","Massachusetts","Thomas Gallaudet","occasional","once",42.6334247,-71.3161718
1873,"St. Paul's Church","Flint","Michigan","","itinerant","once",43.0171773,-83.7236024
1874,"St. Paul's Church","Flint","Michigan","Austin Mann","regular","intermittent",43.0171773,-83.7236024
1874,"St. Paul's Church","Jackson","Michigan","","occasional","",42.244167,-84.407222
1875,"St. Paul's Church","Flint","Michigan","Austin Mann","","",43.0171773,-83.7236024
1875,"St. Mark's Church","Grand Rapids","Michigan","Austin Mann","itinerant","intermittent",42.9632405,-85.6678639
1875,"Christ Church","Detroit","Michigan","Austin Mann","itinerant","intermittent",42.3315509,-83.0466403
1875,"St. Paul's Church","Jackson","Michigan","Austin Mann","itinerant","intermittent",42.244167,-84.407222
1876,"St. Paul's Church","Flint","Michigan","Austin Mann","itinerant","intermittent",43.0171773,-83.7236024
1876,"St. Mark's Church","Grand Rapids","Michigan","Austin Mann","itinerant","intermittent",42.9632405,-85.6678639
1876,"St. John's Church","Detroit","Michigan","Austin Mann","itinerant","intermittent",42.3315509,-83.0466403
1876,"Zion Church","Pontiac","Michigan","Austin Mann","Itinerant","once",42.6389216,-83.2910468
1876,"St. Paul's Church","Jackson","Michigan","Austin Mann","itinerant","intermittent",42.244167,-84.407222
